,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'fashion_bags_accessories', 'auto'})",frozenset({'musical_instruments'}),1.0282247699347078e-05,0.006457251555189964,1.0282247699347078e-05,1.0,154.86464968152868,1.021585263939962e-05,inf,0.9935529644024925
1,"frozenset({'fashion_bags_accessories', 'musical_instruments'})",frozenset({'auto'}),1.0282247699347078e-05,0.04006991928435556,1.0282247699347078e-05,1.0,24.95637670002566,9.87023886397249e-06,inf,0.9599399510559977
2,"frozenset({'auto', 'musical_instruments'})",frozenset({'fashion_bags_accessories'}),1.0282247699347078e-05,0.019166109711582953,1.0282247699347078e-05,1.0,52.17542918454935,1.008517701185972e-05,inf,0.9808439755691283
3,"frozenset({'construction_tools_lights', 'bed_bath_table'})",frozenset({'garden_tools'}),1.0282247699347078e-05,0.036172947406303016,1.0282247699347078e-05,1.0,27.644968732234226,9.910308494100016e-06,inf,0.9638369630040925
4,"frozenset({'construction_tools_lights', 'garden_tools'})",frozenset({'bed_bath_table'}),1.0282247699347078e-05,0.09682792658475142,1.0282247699347078e-05,1.0,10.327599023043433,9.286638973988469e-06,inf,0.903181360149711
5,"frozenset({'bed_bath_table', 'perfumery'})",frozenset({'market_place'}),1.0282247699347078e-05,0.0028790293558171817,1.0282247699347078e-05,1.0,347.3392857142857,1.0252644806376873e-05,inf,0.9971312233944104
6,"frozenset({'market_place', 'perfumery'})",frozenset({'bed_bath_table'}),1.0282247699347078e-05,0.09682792658475142,1.0282247699347078e-05,1.0,10.327599023043433,9.286638973988469e-06,inf,0.903181360149711
7,"frozenset({'telephony', 'cine_photo'})",frozenset({'cool_stuff'}),1.0282247699347078e-05,0.03734512364402858,1.0282247699347078e-05,1.0,26.777257709251103,9.898255887676432e-06,inf,0.9626647747136364
8,"frozenset({'cool_stuff', 'cine_photo'})",frozenset({'telephony'}),1.0282247699347078e-05,0.04317515808955838,1.0282247699347078e-05,1.0,23.16146701595618,9.83831002941177e-06,inf,0.9568346803216321
9,"frozenset({'computers_accessories', 'home_construction'})",frozenset({'cool_stuff'}),1.0282247699347078e-05,0.03734512364402858,1.0282247699347078e-05,1.0,26.777257709251103,9.898255887676432e-06,inf,0.9626647747136364
10,"frozenset({'home_construction', 'cool_stuff'})",frozenset({'computers_accessories'}),1.0282247699347078e-05,0.0687779548609326,1.0282247699347078e-05,1.0,14.53954253251607,9.575055731212457e-06,inf,0.9312316202932528
11,"frozenset({'health_beauty', 'computers_accessories'})",frozenset({'sports_leisure'}),1.0282247699347078e-05,0.07937895223895944,1.0282247699347078e-05,1.0,12.597797927461139,9.466053650311455e-06,inf,0.9206305139120241
12,"frozenset({'pet_shop', 'sports_leisure'})",frozenset({'furniture_decor'}),1.0282247699347078e-05,0.0663102154130893,1.0282247699347078e-05,1.0,15.08063265622577,9.600429639472631e-06,inf,0.9336993851152652
